ws,trans
5380.0,0.0
5405.0,0.015805914998054504
5430.0,0.11177040636539459
5455.0,0.2924094498157501
5480.0,0.5611100196838379
5505.0,0.9110981822013855
5530.0,1.338986873626709
5555.0,1.8346151113510132
5580.0,2.3629844188690186
5605.0,2.8845794200897217
5630.0,3.358757257461548
5655.0,3.7550339698791504
5680.0,4.074539661407471
5705.0,4.3285627365112305
5730.0,4.527265548706055
5755.0,4.681938171386719
5780.0,4.801611423492432
5805.0,4.89193058013916
5830.0,4.961928367614746
5855.0,5.019506931304932
5880.0,5.06805419921875
5905.0,5.110955715179443
5930.0,5.151599407196045
5955.0,5.1922430992126465
5980.0,5.231758117675781
6005.0,5.266757011413574
6030.0,5.293852806091309
6055.0,5.309658527374268
6080.0,5.318690776824951
6105.0,5.325464725494385
6130.0,5.336754322052002
6155.0,5.355947494506836
6180.0,5.381914138793945
6205.0,5.410139083862305
6230.0,5.440621852874756
6255.0,5.468846797943115
6280.0,5.494813442230225
6305.0,5.517393589019775
6330.0,5.534328460693359
6355.0,5.542231559753418
6380.0,5.545618534088135
6405.0,5.545618534088135
6430.0,5.545618534088135
6455.0,5.547876358032227
6480.0,5.549005508422852
6505.0,5.545618534088135
6530.0,5.533199310302734
6555.0,5.507232666015625
6580.0,5.477878570556641
6605.0,5.439492702484131
6630.0,5.302884578704834
6655.0,4.9912824630737305
6680.0,4.526136875152588
6705.0,3.950350046157837
6730.0,3.301178455352783
6755.0,2.6170082092285156
6780.0,1.9362246990203857
6805.0,1.3006010055541992
6830.0,0.775618851184845
6855.0,0.42901769280433655
6880.0,0.2393467128276825
6905.0,0.15128518640995026
6930.0,0.11177040636539459
6955.0,0.0858035460114479
6980.0,0.06209466978907585
7005.0,0.04403076320886612
7030.0,0.030482837930321693
7055.0,0.02257988043129444
7080.0,0.01693490892648697
7105.0,0.01354792807251215
7130.0,0.01128994021564722
7155.0,0.007902957499027252
7180.0,0.004515975713729858
7205.0,0.002257987856864929
7230.0,0.0
